country,year,elo_rating,elo_rank_change,elo_rating_change
Japan,1998,1737,-16,-72
Japan,2002,1829,-4,-24
Japan,2006,1738,-6,-51
Japan,2010,1763,17,82
Japan,2014,1735,-6,-51
Japan,2018,1708,1,24
Senegal,1994,1300,0,0
Senegal,1998,1300,0,0
Senegal,2002,1783,14,81
Senegal,2006,1783,0,0
Senegal,2010,1783,0,0
Senegal,2014,1783,0,0
Senegal,2018,1782,2,13
